ipr	description
IPR042097	Aminopeptidase N-like , N-terminal domain superfamliy
IPR005827	Potassium channel, voltage dependent, KCNQ1
IPR039481	Exocyst complex component EXOC2/Sec5, N-terminal domain
IPR031970	Anillin, N-terminal domain
IPR041560	FMR1, tudor domain
IPR002843	ATPase, V0 complex,  c/d subunit
IPR016727	ATPase, V0 complex, subunit d
IPR036079	V-type ATP synthase subunit c/d subunit superfamily
IPR044911	V-type ATP synthase c/d subunit, domain 3 superfamily
IPR000175	Sodium:neurotransmitter symporter
IPR041871	TMEM62, metallophosphatase domain
IPR023033	Alanine-tRNA ligase, eukaryota/bacteria
IPR043361	DnaJ homolog subfamily C member 16, TRX domain
IPR001660	Sterile alpha motif domain
IPR040472	Synaptic functional regulator FMRP, KH0 domain
IPR018983	U3 small nucleolar RNA-associated protein 15, C-terminal
IPR005429	Lysosome membrane protein II
IPR037272	Sodium:neurotransmitter symporter superfamily
IPR019438	Queuosine salvage protein family
IPR037337	Dip2-like domain
IPR041897	Integrator complex subunit 11, MBL-fold
IPR026520	THAP domain-containing protein 3
IPR039812	Vesicle-fusing ATPase
IPR008677	MRVI1
IPR003343	Bacterial Ig-like domain, group 2
IPR045147	AT-rich interactive domain-containing protein 3
IPR001932	PPM-type phosphatase-like domain
IPR009263	SERTA domain
IPR015526	Frizzled/secreted frizzled-related protein
IPR029065	Enolase C-terminal domain-like
IPR013680	Voltage-dependent calcium channel, alpha-2/delta subunit, conserved region
IPR003938	Potassium channel, voltage-dependent, EAG/ELK/ERG
IPR017328	Sirtuin, class I
IPR036400	Cytochrome b5-like heme/steroid binding domain superfamily
IPR040126	Storkhead-box protein 1/2
IPR006955	Uso1/p115-like vesicle tethering protein, C-terminal
IPR002715	Nascent polypeptide-associated complex NAC domain
IPR038187	NAC A/B domain superfamily
IPR008915	Peptidase M50
IPR001447	Arylamine N-acetyltransferase
IPR016275	Glucose-6-phosphatase
IPR018959	Domain of unknown function DUF1989
IPR022127	Store-operated calcium entry regulator STIMATE/YPL162C
IPR032406	Cyclic nucleotide-gated channel, C-terminal leucine zipper domain
IPR032755	Translin-associated factor X-interacting protein 1, N-terminal
IPR028194	Coiled-coil domain-containing protein 167
IPR036423	Superoxide dismutase-like, copper/zinc binding domain superfamily
IPR000539	Frizzled/Smoothened, transmembrane domain
IPR039436	Asteroid domain
IPR027858	Protein BRAWNIN
IPR037875	Ribosome biogenesis protein Bms1, N-terminal
IPR011856	tRNA endonuclease-like domain superfamily
IPR045124	Protein suppressor of sable-like
IPR037662	Cilia- and flagella-associated protein 68/107
IPR010449	NUMB domain
IPR040335	Multivesicular body subunit 12A
IPR026000	Anaphase-promoting complex subunit 5 domain
IPR026971	Condensin subunit 1/Condensin-2 complex subunit D3
IPR004659	Ribonuclease E/G
IPR004753	Cell shape determining protein MreB
IPR004869	Membrane transport protein MMPL domain
IPR005933	Bifunctional protein PutA, C-terminal domain
IPR008626	Mediator complex, subunit Med15, fungi
IPR011759	Cytochrome C oxidase subunit II, transmembrane domain
IPR020997	Ataxin-1, N-terminal
IPR022813	Protein-export membrane protein SecD/SecF, archaeal and bacterial
IPR036257	Cytochrome C oxidase subunit II, transmembrane domain superfamily
IPR036520	UPF0759 superfamily
IPR045187	Cytochrome c/quinol oxidase subunit II
IPR045893	FREE1
IPR025110	AMP-binding enzyme, C-terminal domain
IPR040352	Transmembrane and ubiquitin-like domain-containing protein 1/2
IPR011717	Tetratricopeptide TPR-4
IPR018155	Hyaluronidase
IPR012308	DNA ligase, ATP-dependent, N-terminal
IPR036599	DNA ligase, ATP-dependent, N-terminal domain superfamily
IPR015507	Ribosomal RNA large subunit methyltransferase E
IPR036426	Bulb-type lectin domain superfamily
IPR007149	Leo1-like protein
IPR004156	Organic anion transporter polypeptide
IPR001728	Thyroid hormone receptor
IPR021622	Afadin/alpha-actinin-binding
IPR028606	Polyribonucleotide 5-hydroxyl-kinase Clp1
IPR028386	Centromere protein C/Mif2/cnp3
IPR036869	Chaperone J-domain superfamily
IPR041611	SKICH domain
IPR003103	BAG domain
IPR036533	BAG domain superfamily
IPR016641	Nascent polypeptide-associated complex subunit alpha
IPR031949	Domain of unknown function DUF4776
IPR004085	DNA topoisomerase VI, subunit A
IPR033198	Repetin
IPR000009	Protein phosphatase 2A regulatory subunit PR55
IPR028089	Domain of unknown function DUF4455
IPR014853	VWF/SSPO/Zonadhesin-like, cysteine-rich domain
IPR027498	Ribosomal protein S2, eukaryotic
IPR000472	Activin types I and II receptor domain
IPR000859	CUB domain
IPR004541	Translation elongation factor EFTu/EF1A, bacterial/organelle
IPR017072	Transcription elongation factor Spt6
IPR035018	Spt6, SH2 domain, C terminus
IPR035420	Spt6, SH2 domain
IPR012913	Protein OS9-like domain
IPR045149	Protein OS-9-like
IPR008734	Phosphorylase kinase alpha/beta subunit
IPR011613	GH15-like domain
IPR012020	AB hydrolase 4 family
IPR045206	Maestro heat-like repeat-containing protein
IPR014932	Doublesex dimerisation
IPR002391	Annexin A4
IPR006861	Hyaluronan/mRNA-binding protein
IPR032381	Intracellular hyaluronan-binding protein 4, N-terminal domain
IPR039764	RNA binding protein HABP4/SERBP1
IPR032059	Mucin-like domain
IPR040706	MYST, zinc finger domain
IPR018864	Nucleoporin Nup188, N-terminal
IPR000086	NUDIX hydrolase domain
IPR044285	Periodic tryptophan protein 1
IPR024855	UNC79
IPR007308	Rtr1/RPAP2 domain
IPR044773	DDX18/Has1, DEAD-box helicase domain
IPR002115	Protein-tyrosine phosphatase, low molecular weight, mammalian
IPR036898	RNA polymerase Rpb7-like, N-terminal domain superfamily
IPR010497	Epoxide hydrolase, N-terminal
IPR042237	Putative peptidyl-tRNA hydrolase PTRHD1
IPR003975	Potassium channel, voltage dependent, Kv4
IPR013098	Immunoglobulin I-set
IPR005399	Potassium channel, voltage-dependent, beta subunit, KCNAB-related
IPR021859	XRN2-binding (XTBD) domain
IPR045200	E3 ubiquitin-protein ligase CHIP
IPR042495	Platelet-derived growth factor receptor-like protein
IPR016095	Ribosomal protein L1, 3-layer alpha/beta-sandwich
IPR015063	USP8 dimerisation domain
IPR046945	L-rhamnonate dehydratase-like
IPR010850	Neuroparsin
IPR003578	Small GTPase Rho
IPR013713	Exportin-2, central domain
IPR022102	Holliday junction regulator protein family C-terminal
IPR033896	MADS MEF2-like
IPR000922	D-galactoside/L-rhamnose binding SUEL lectin domain
IPR020373	Alpha-ketoglutarate dehydrogenase component 4/YMR-31
IPR016292	Epoxide hydrolase
IPR015420	Peptidase S1A, nudel
IPR013342	Mandelate racemase/muconate lactonizing enzyme, C-terminal
IPR037448	Zwei Ig domain protein zig-8
IPR022782	Actin interacting protein 3-like, C-terminal
IPR045347	HIND motif
IPR002674	Ribosomal protein L37ae
IPR035019	Spt6, SH2 domain, N terminus
IPR016355	Nuclear hormone receptor family 5
IPR016039	Thiolase-like
IPR024764	Transcription factor IIIC, putative zinc-finger
IPR007823	Ribosomal RNA processing protein 8
IPR042036	Ribosomal RNA-processing protein 8, N-terminal domain
IPR004734	Multidrug resistance protein
IPR008937	Ras-like guanine nucleotide exchange factor
IPR043581	Axin-like
IPR035976	Sushi/SCR/CCP superfamily
IPR024771	SUZ domain
IPR043447	CCDC120/INAVA
IPR000866	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant
IPR005240	Protein of unknown function DUF389
IPR039103	Centrosomal protein Spd-2/CEP192
IPR036265	HIT-like superfamily
IPR038881	Yae1-like
IPR001770	G-protein, gamma subunit
IPR000587	Creatinase, N-terminal
IPR000654	G-protein alpha subunit, group Q
IPR010492	GINS complex, subunit Psf3
IPR040847	Mind bomb, SH3 repeat domain
IPR036272	Methuselah, N-terminal domain superfamily
IPR021714	Nucleolar pre-ribosomal-associated protein 1, N-terminal
IPR002546	Myogenic muscle-specific protein, N-terminal
IPR021887	Disabled homolog 2-interacting protein, C-terminal domain
IPR039704	Myogenic factor
IPR012968	FerIin domain
IPR000268	DNA-directed RNA polymerase subunit RPABC5/Rpb10
IPR023580	RNA polymerase subunit RPB10
IPR039763	Damage-control phosphatase ARMT1
IPR000436	Sushi/SCR/CCP domain
IPR008395	Agenet-like domain
IPR047543	E3 ubiquitin-protein ligase RNF31-like, Bbox1 zinc finger
IPR037944	Peroxiredoxin-5-like
IPR005804	Fatty acid desaturase domain
IPR000064	Endopeptidase, NLPC/P60 domain
IPR000524	Transcription regulator HTH, GntR
IPR000847	Transcription regulator HTH, LysR
IPR001764	Glycoside hydrolase, family 3, N-terminal
IPR002772	Glycoside hydrolase family 3 C-terminal domain
IPR003024	Sodium bicarbonate cotransporter
IPR003352	Phosphotransferase system, EIIC
IPR004341	CAT RNA-binding domain
IPR004628	Mannonate dehydratase
IPR008920	Transcription regulator FadR/GntR, C-terminal
IPR011608	PRD domain
IPR011711	GntR, C-terminal
IPR018113	Phosphotransferase system EIIB, cysteine phosphorylation site
IPR036634	PRD domain superfamily
IPR036650	CAT RNA-binding domain superfamily
IPR036878	Glucose permease domain IIB
IPR036881	Glycoside hydrolase family 3 C-terminal domain superfamily
IPR036962	Glycoside hydrolase, family 3, N-terminal domain superfamily
IPR027545	Kynurenine 3-monooxygenase
IPR027251	Diacylglycerol O-acyltransferase 1
IPR029336	Protein of unknown function DUF4594
IPR041615	Desmoplakin, SH3 domain
IPR007604	CP2 transcription factor
IPR026298	Bcl-2 family
IPR036834	Bcl-2-like superfamily
IPR046371	Bcl-2, Bcl-2 homology region 1-3
IPR022629	S-adenosylmethionine synthetase, central domain
IPR022630	S-adenosylmethionine synthetase, C-terminal
IPR045203	RAN GTPase-activating protein 1/2
IPR011050	Pectin lyase fold/virulence factor
IPR008350	Mitogen-activated protein (MAP) kinase, ERK3/4
IPR026885	Autophagy-related protein 2, middle RBG module
IPR039899	BET1, SNARE domain
IPR011258	BPG-independent PGAM, N-terminal
IPR036646	BPG-independent phosphoglycerate mutase, domain B superfamily
IPR027902	Protein of unknown function DUF4487
IPR043322	C-terminal binding protein
IPR000573	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain
IPR001030	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain
IPR015928	Aconitase/3-isopropylmalate dehydratase, swivel
IPR015931	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3
IPR036008	Aconitase, iron-sulfur domain
IPR033248	Transketolase, C-terminal domain
IPR037994	Nucleoside diphosphate kinase 6
IPR036688	MoeA, C-terminal, domain IV superfamily
IPR006838	ADTRP/AIG1
IPR004095	TGS
IPR024571	ERAP1-like C-terminal domain
IPR011013	Galactose mutarotase-like domain superfamily
IPR013809	ENTH domain
IPR029030	Caspase-like domain superfamily
IPR029060	PIN-like domain superfamily
IPR039761	Ribosome biogenesis protein Bms1/Tsr1
IPR024606	UPF0606 protein KIAA1549
IPR005204	Hemocyanin, N-terminal
IPR002470	Peptidase S9A, prolyl oligopeptidase
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase
IPR036938	Phosphatidic acid phosphatase type 2/haloperoxidase superfamily
IPR013763	Cyclin-like
IPR006102	Glycoside hydrolase, family 2, immunoglobulin-like beta-sandwich
IPR016724	Insulin-related peptide
IPR005203	Hemocyanin, C-terminal
IPR037020	Hemocyanin, C-terminal domain superfamily
IPR036179	Immunoglobulin-like domain superfamily
IPR034107	Lsm16, N-terminal
IPR032870	Alpha-ketoglutarate-dependent dioxygenase alkB homologue 7-like
IPR039360	Ras GTPase-activating protein
IPR028261	Dihydroprymidine dehydrogenase domain II
IPR003973	Potassium channel, voltage dependent, Kv2
IPR036697	Hemocyanin, N-terminal domain superfamily
IPR015245	Nuclear RNA export factor Tap, RNA-binding domain
IPR041083	AAA lid domain
IPR010468	Hormone-sensitive lipase, N-terminal
IPR020190	Procorazonin
IPR040326	HAP2/GCS1
IPR039339	Inactive serine/threonine-protein kinase TEX14
IPR036969	Citrate synthase superfamily
IPR047152	Caudal homeobox
IPR024928	E3 ubiquitin-protein ligase, SMURF1 type
IPR009014	Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II
IPR022694	3-hydroxyacyl-CoA dehydrogenase
IPR042869	Rho GTPase-activating protein 11
IPR041161	Tenascin, EGF-like domain
IPR042018	Glycerol kinase, metazoa
IPR046439	Zinc finger, RZ-type
IPR007714	CFA20 domain
IPR040441	Cilia- and flagella-associated protein 20/CFAP20DC
IPR042247	T-cell leukemia homeobox protein 1/2/3
IPR040111	Outer dynein arm-docking complex subunit 4
IPR040314	Protein dopey
IPR027157	Nuclear cap-binding protein subunit 2
IPR034148	NCBP2, RNA recognition motif
IPR029164	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y
IPR007718	Srp40, C-terminal
IPR015668	B Cell Lymphoma 9
IPR029409	Transmembrane protein 237
IPR002100	Transcription factor, MADS-box
IPR012485	Centromere protein I
IPR036574	Knottin, scorpion toxin-like superfamily
IPR009079	Four-helical cytokine-like, core
IPR003256	Ribosomal protein L24
IPR004979	Transcription factor AP-2
IPR013854	Transcription factor AP-2, C-terminal
IPR002695	Bifunctional purine biosynthesis protein PurH-like
IPR024051	AICAR transformylase, duplicated domain superfamily
IPR026962	Katanin p80 WD40 repeat-containing subunit B1
IPR041031	RNF31, C-terminal
IPR047540	E3 ubiquitin-protein ligase RNF31-like, BRcat domain
IPR047542	E3 ubiquitin-protein ligase RNF31-like, Rcat domain
IPR003177	Cytochrome c oxidase subunit VIIa, metazoa
IPR008290	Phosphatidylinositol 3-kinase, Vps34 type
IPR001599	Alpha-2-macroglobulin
IPR047565	Alpha-macroglobulin-like, thiol-ester bond-forming region
IPR006206	Mevalonate/galactokinase
IPR025202	Phospholipase D-like domain
IPR039149	Zinc finger protein 800/341
IPR000896	Hemocyanin/hexamerin middle domain
IPR008922	Di-copper centre-containing domain superfamily
IPR037660	Coiled-coil domain-containing protein 51
IPR031801	Virilizer, N-terminal
IPR001609	Myosin head, motor domain
IPR016197	Chromo-like domain superfamily
IPR046347	Basic-leucine zipper domain superfamily
IPR029841	Cyclin-dependent kinase inhibitor 1
IPR029235	Protein of unknown function DUF4619
IPR041084	Nicastrin, small lobe
IPR039788	Nucleolar protein 4 family
IPR025423	Domain of unknown function DUF4149
IPR019409	FMP27, sixth RBG unit
IPR021785	Domain of unknown function DUF3350
IPR047115	Arylsulfatase B
IPR036282	Glutathione S-transferase, C-terminal domain superfamily
IPR034596	39S ribosomal protein L52, mitochondrial
IPR032821	Polyketide synthase, C-terminal extension
IPR009210	Activating signal cointegrator 1 complex subunit 1
IPR007647	RNA polymerase Rpb2, domain 5
IPR013483	Molybdenum cofactor biosynthesis protein A
IPR002020	Citrate synthase
IPR003914	Rabaptin
IPR036757	Transferrin receptor-like, dimerisation domain superfamily
IPR014311	Guanine deaminase
IPR037620	Liprin-alpha, SAM domain repeat 1
IPR047075	Paxillin/TGFB1I1, LIM domain 1
IPR027155	AP-3 complex subunit sigma
IPR025254	Domain of unknown function DUF4201
IPR036879	Transcription factor, MADS-box superfamily
IPR011335	Restriction endonuclease type II-like
IPR037463	Thioredoxin-related transmembrane protein 2, thioredoxin domain
IPR023346	Lysozyme-like domain superfamily
IPR023416	Transthyretin/hydroxyisourate hydrolase domain
IPR036817	Transthyretin/hydroxyisourate hydrolase domain superfamily
IPR003171	Methylenetetrahydrofolate reductase-like
IPR006550	Bifunctional polynucleotide phosphatase/kinase PNKP
IPR034095	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3
IPR006208	Glycoprotein hormone subunit beta
IPR001634	Adenosine receptor
IPR012676	TGS-like
IPR003124	WH2 domain
IPR043449	PHD finger protein 20-like
IPR014717	Translation elongation factor EF1B/ribosomal protein S6
IPR015439	Integrin beta-2 subunit
IPR044623	ERAD-associated E3 ubiquitin-protein ligase component HRD3
IPR025476	Helitron helicase-like domain
IPR013886	PI31 proteasome regulator, C-terminal
IPR001387	Cro/C1-type helix-turn-helix domain
IPR032485	Domain of unknown function DUF5050
IPR009105	Colicin E3-like ribonuclease domain
IPR036725	Colicin E3-like ribonuclease domain superfamily
IPR007281	Mre11, DNA-binding
IPR044881	RecQ-mediated genome instability protein 1, N-terminal helical domain superfamily
IPR005729	Ribosomal protein S10, eukaryotic/archaeal
IPR005720	Dihydroorotate dehydrogenase domain
IPR001232	S-phase kinase-associated protein 1-like
IPR018289	MULE transposase domain
IPR003780	COX15/CtaA family
IPR040091	Leucine-rich repeat-containing protein 56
IPR038487	Mre11, capping domain
IPR034868	Partitioning defective protein 6, PB1 domain
IPR036168	AP-2 complex subunit mu, C-terminal superfamily
IPR043537	Tiam1/Tiam2/Protein still life
IPR006120	Resolvase, HTH domain
IPR036364	SEA domain superfamily
IPR003126	Zinc finger, UBR-type
IPR008905	Eukaryotic translation initiation factor 3 subunit C, N-terminal domain
IPR027516	Eukaryotic translation initiation factor 3 subunit C
IPR046357	Peptidyl-prolyl cis-trans isomerase domain superfamily
IPR014369	Glycine/Sarcosine N-methyltransferase
IPR015917	Peptidase C14A, caspase catalytic domain
IPR006693	Partial AB-hydrolase lipase domain
IPR033768	Hydin adenylate kinase-like domain
IPR041698	Methyltransferase domain 25
IPR038729	Rad50/SbcC-type AAA domain
IPR013240	DNA-directed RNA polymerase I, subunit RPA34.5
IPR047226	RNA-binding protein MEX-3, second type I KH domain
IPR006823	Neutral/alkaline nonlysosomal ceramidase
IPR017114	C2H2-type Zinc finger protein, YY1-like
IPR003894	TAFH/NHR1
IPR037249	TAFH/NHR1 domain superfamily
IPR000563	Flagellar assembly protein FliH
IPR003274	Potassium channel, inwardly rectifying, Kir3.1
IPR026086	Proline-rich protein
IPR005120	UPF3 domain
IPR039722	Nonsense-mediated mRNA decay protein 3
IPR013785	Aldolase-type TIM barrel
IPR039670	Sterol transport protein NPC2-like
IPR002167	Graves disease carrier protein
IPR032466	Metal-dependent hydrolase
IPR020936	tRNA uridine(34) hydroxylase
IPR033916	Npc2 like, ML domain
IPR010465	DRF autoregulatory
IPR015676	Tob1/2
IPR035590	CBY1-interacting BAR domain-containing protein 1/2, BAR domain
IPR034907	Nucleoside diphosphate kinase-like domain
IPR036850	Nucleoside diphosphate kinase-like domain superfamily
